ref,name,location,type,maint_zone,long,lat
PGWF091,Stuart Reserve,Stuart Reserve The Boulevard Boulevard Shepparton 3630,District,Zone1,145.3914981,-36.36670612
PGWF084,Robert McTier VC Memorial Gardens,Robert McTier VC Memorial Gardens Hogan Street Tatura 3616,District,Zone4,145.2319323,-36.44064655
PGWF062,Lowanna Park,Lowanna Park Kialla Lakes,District,Zone2,145.3994481,-36.42527964
PGWF085,Tatura Skate Park,Tatura Skate Park Flanagan Place Tatura 3616,District,Zone4,145.2327792,-36.4411819
PGWF106,Western Park,Exercise Equipment Area                                                                          Western Park Vic Park Lake Shepparton,District,Zone2,145.3943503,-36.38817964
PGWF073,Northlinks Reserve,Northlinks Reserve,District,Zone4,145.2312897,-36.42649043
PGWF101,Boulevard Estate Reserve,Boulevard Estate Stg 11 Reserve67 Canterbury Avenue Shepparton.Glenferrie Drive Park,District,Zone1,145.3732214,-36.3541099
PGWF079,Pelican Park,Pelican Park Kialla Lakes Sugarloaf Avenue,District,Zone2,145.4006059,-36.43137076
PGWF083,Murchison Riverbank Gardens,Murchison Public Gardens Stevenson Street Murchison 3610,District,Zone4,145.217946,-36.61662206
PGWF022,Deakin Park,Deakin Reserve Nixon Street Shepparton 3630,District,Zone1,145.406829,-36.37735001
PGWF107,Joe Ford Drive Playground,Playground Area                                                                                       Joe Ford Drive Tatura,District,Zone4,145.2196267,-36.44159126
PGWF077,Wanganui Park,Wanganui Park Parkside Drive Shepparton 3630,District,Zone1,145.3885315,-36.35652501
PGWF047,John Pick Playground,John Pick Playground Wyndham Street Shepparton 3630,District,Zone2,145.397497,-36.38668803
PGWF031,Mooroopna Skate Park,"Mooroopna Skate Park, Ferrari Park Mooroopna",District,Zone3,145.3532048,-36.39506598
PGWF026,Ducat Reserve ,Ducat Reserve Paterson Road Shepparton,District,Zone2,145.419388,-36.39574405
PGWF064,Maude Street Mall,Maude Street Mall Maude Street Shepparton 3630,District,Zone1,145.4008854,-36.38074127
PGWF054,KidsTown Playground,KidsTown Playground Midland Highway Mooroopna 3629,Regional,Zone3,145.3803608,-36.38510705
PGWF005,All Abilities Playground ,All Abilities Playground Tom Collins Drive Shepparton,Regional,Zone2,145.3945462,-36.38759724
PGWF097,Victoria Park Lake Skate Park,Victoria Park Lake Skate Park Wyndham Street Shepparton 3630,Regional,Zone2,145.3972663,-36.38706588
PGWF030,Ferrari Park,Ferrari Park Mooroopna,Regional,Zone3,145.3543483,-36.39442569
