assetid,name,strno,street,suburb,classif,park_id,lat,lon
PL111,Ranleigh Reserve Playground,11-13,Ranleigh Rise,Templestowe Lower,Small Playground,FLPK233,-37.76881047900,145.11499754800
PL112,Renshaw Reserve Playground,15,Renshaw Street,Doncaster East,Small Playground,FLPK235,-37.79434847700,145.14925625100
PL113,Riverview Reserve Playground,52,Riverview Terrace,Bulleen,Small Playground,FLPK240,-37.77254708900,145.09931552200
PL114,Ronald Reserve Playground,13-15,Ronald Avenue,Bulleen,Large Playground,FLPK244,-37.76363048900,145.08982593900
PL115,Ruffey Lake Park (The Boulevard) Playground,8-94,The Boulevarde,Doncaster,Regional Playground,FLPK247,-37.77721878500,145.13187766300
PL116,Ruffey Lake Park (Victoria St) Playground,71-125,Victoria Street,Templestowe,Regional Playground,FLPK247,-37.77690448600,145.14435273800
PL117,Sandra Reserve Playground,20,Sandra Street,Bulleen,Small Playground,FLPK251,-37.77715661100,145.08405745700
PL118,JW Thomson Reserve Playground,29,Saxon Street,Doncaster,Large Playground,FLPK255,-37.78229163900,145.12797807700
PL119,Schafter Reserve Playground,12,Schafter Drive,Doncaster East,Large Playground,FLPK256,-37.76265146000,145.17567685100
PL120,Schramms Reserve Playground (South),2-50,J J Tully Drive,Doncaster,Large Playground,FLPK257,-37.78466153700,145.13377421000
PL122,Sharon Reserve Playground,11-13,Sharon Street,Doncaster,Small Playground,FLPK260,-37.78371299200,145.14019141700
PL123,Sheahans Reserve Playground,27-37,Sheahans Road,Bulleen,Large Playground,FLPK262,-37.75903745500,145.09429408200
PL124,Sinclair Reserve Playground,6-8,Sinclair Avenue,Templestowe Lower,Small Playground,FLPK264,-37.76323137400,145.12111113900
PL125,Somerville Reserve Playground,22-24,Somerville Street,Doncaster,Small Playground,FLPK265,-37.77847234600,145.11629540700
PL126,Spring Valley Reserve Playground,31,Springvalley Drive,Templestowe,Large Playground,FLPK266,-37.75339821700,145.15958194200
PL127,Dellview Playspace Playground,14-15,Springwood Close,Donvale,Large Playground,FLPK411,-37.77488227400,145.18584708300
PL128,St Clems Reserve Playground,77,Tunstall Road,Doncaster East,Small Playground,FLPK267,-37.79649047500,145.16902458000
PL129,St Deny's Reserve Playground,8,St Denys Crescent,Wonga Park,Small Playground,FLPK268,-37.73780657400,145.27175315200
PL130,Stanley Reserve Playground,41,Stanley Street,Bulleen,Small Playground,FLPK269,-37.77461937300,145.08490156000
PL131,Stiggants Park Playground,45-55,Yarra Street,Warrandyte,Small Playground,FLPK412,-37.74133101600,145.21094727900
PL132,Studley Reserve Playground,18,Studley Street,Doncaster,Small Playground,FLPK325,-37.78211230400,145.11356801400
PL133,Swanston Reserve Playground,96-106,Swanston Street,Bulleen,District Playground,FLPK275,-37.76227789300,145.09895765300
PL134,Tasker Reserve Playground,11A,Tasker Street,Templestowe Lower,Small Playground,FLPK277,-37.76922292200,145.10221623300
PL135,Ted Ajani Reserve Playground,284-302,Thompsons Road,Templestowe Lower,Large Playground,FLPK279,-37.76900071600,145.10729970900
PL136,Templestowe Reserve Playground,94-140,Porter Street,Templestowe,Large Playground,FLPK281,-37.75401406300,145.13607467000
PL137,The Grange Reserve Playground,1A,The Grange,Templestowe,Large Playground,FLPK282,-37.77052335500,145.14899362600
PL138,Timber Reserve (North) Playground,6-20,Anthony Avenue,Doncaster,Large Playground,FLPK288,-37.77534078400,145.10798821800
PL139,Timber Reserve (South) Playground,57-59,Timber Ridge,Doncaster,Small Playground,FLPK288,-37.77678236100,145.10590403100
PL141,Valepark Reserve Playground,41-43,Valepark Drive,Donvale,Large Playground,FLPK294,-37.77749900300,145.18048848300
PL143,Verbena Reserve Playground,12,Verbena Street,Templestowe,Small Playground,FLPK296,-37.75689177800,145.13244099900
PL144,Walker Reserve Playground,27,Walker Street,Doncaster,Small Playground,FLPK20,-37.79025545300,145.12843068500
PL145,Warrandyte Reserve Playground,8,Taroona Avenue,Warrandyte,District Playground,FLPK353,-37.74579607900,145.20742979800
PL146,Warrandyte Federation Playspace,217,Yarra Street,Warrandyte,Regional Playground,FLPK320,-37.73657838300,145.22046648900
PL149,Whistlewood Reserve Playground,1,Whistlewood Close,Doncaster East,Small Playground,FLPK308,-37.76750666500,145.16797040000
PL150,Willow North Reserve Playground,91,Willow Bend,Bulleen,Small Playground,FLPK312,-37.78208953300,145.10089141800
PL151,Wilsons Reserve Playground,95-107,Wilsons Road,Doncaster,Small Playground,FLPK313,-37.79130497200,145.11104067100
PL152,Winbrook Reserve Playground,18,Winbrook Court,Doncaster,Small Playground,FLPK314,-37.78108401700,145.12482081800
PL153,Wittons Reserve Playground,59,Reserve Road,Wonga Park,Small Playground,FLPK309,-37.71871539700,145.28577120000
PL154,Wonga Park Reserve (Oval) Playground,9-13,Old Yarra Road,Wonga Park,District Playground,FLPK316,-37.73928441200,145.26705868300
PL155,Wonga Park Tennis Playground,9-13,Old Yarra Road,Wonga Park,Small Playground,FLPK316,-37.73910460400,145.26944593400
PL157,Woodlea Reserve Playground,14-22,Woodlea Street,Doncaster East,Small Playground,FLPK319,-37.77516263700,145.14797811200
PL158,Morris Williams Reserve Playground,92,Rocklea Road,Bulleen,District Playground,FLPK321,-37.77075208300,145.08994010200
PL159,Zerbes Reserve Playground,293,Blackburn Road,Doncaster East,District Playground,FLPK323,-37.77890653800,145.16236842600
PL161,Albany Reserve Playground,1,Albany Way,Doncaster East,Small Playground,FLPK6,-37.77364856800,145.16633970300
PL162,Browning Reserve Playground,25,Browning Drive,Templestowe,Small Playground,FLPK47,-37.77059304300,145.16146150300
PL163,Manna Gum Playground,181,Heidelberg-Warrandyte Road,Doncaster East,District Playground,FLPK171,-37.75026502300,145.17562710600
